Survey,,,Season,Depth,Month,Pipeline_days,Days,CDM3MO_EAERO,CDM6MO_EAERO,CDM12MO_EAERO,CDM3MO_ESPER,CDM6MO_ESPER,CDM12MO_ESPER,CDM3MO_MYRUP,CDM6MO_MYRUP,CDM12MO_MYRUP
 Oct-06,Oct-06,10-2006,Spring,1.37,10,0,42,-68.8,-51.6,-44.7,-100.9,-109.9,-105.9,-85.9,-47.2,0.8
 Oct-07,Oct-07,10-2007,Spring,1.73,10,0,53,-44.2,4.8,106.5,15.3,38.9,105.3,-25.1,8.8,117.3
 Feb-08,Feb-08,2-2008,Summer,1.16,2,0,59,-15.6,15.9,-5.5,-28.1,36.2,0.1,-7.0,33.0,9.8
 Nov-08,Nov-08,11-2008,Spring,1.5,11,0,70,33.1,28.3,-49.9,51.1,24.3,-50.7,63.2,31.0,8.7
 Nov-09,Nov-09,11-2009,Spring,1.38,11,92,79,-52.3,-75.5,103.7,-49.7,-49.7,22.7,-67.7,-100.6,65.4
 Feb-10,Feb-10,2-2010,Summer,0.84,2,55,54,-40.4,-92.7,-137.9,-49.3,-99.0,-129.1,-15.3,-83.1,-147.3
 Nov-10,Nov-10,11-2010,Spring,1.17,11,92,75,-36.7,-6.9,-45.5,-59.7,-55.1,-139.5,-57.0,-49.8,-78.6
 Feb-11,Feb-11,2-2011,Summer,0.8,2,35,46,-12.6,-49.3,-17.7,-3.3,-63.0,-93.5,-11.0,-68.1,-74.3
 Dec-11,Dec-11,12-2011,Spring,1.06,12,61,102,51.1,-19.3,-21.7,44.1,16.3,-5.9,56.4,9.9,-10.4
 Feb-12,Feb-12,2-2012,Summer,0.92,2,92,45,84.2,90.1,44.7,78.7,84.0,32.7,108.7,117.8,73.6
 Oct-12,Oct-12,10-2012,Spring,1.12,10,92,52,-26.0,-45.2,79.3,2.7,-23.1,61.9,-15.8,-58.7,73.0
 Feb-13,Feb-13,2-2013,Summer,0.65,2,52,43,42.6,-5.3,-33.9,14.3,10.8,-35.1,32.2,-13.6,-50.1
 Nov-13,Nov-13,11-2013,Spring,1.29,11,92,84,39.5,31.5,173.9,88.7,89.9,204.1,94.9,29.1,183.5
 Feb-14,Feb-14,2-2014,Summer,0.84,2,92,35,-24.4,15.1,106.9,-24.5,64.2,165.3,-20.2,74.6,131.1
 Nov-14,Nov-14,11-2014,Spring,1.19,11,0,70,1.1,2.9,-94.5,-33.5,18.5,-79.1,-62.0,-51.4,-136.8
 Feb-15,Feb-15,2-2015,Summer,0.76,2,0,42,18.4,19.5,-51.7,-9.5,-43.0,-64.1,17.2,-44.9,-99.4
 Nov-18,Nov-18,11-2018,Spring,1.51,11,92,59,82.7,26.9,54.7,66.4,-13.2,-62.4,89.9,-15.1,-18.9
 Feb-19,Feb-19,2-2019,Summer,0.91,2,92,37,-0.6,82.1,69.9,-10.3,56.1,-34.8,-22.7,67.1,-14.0
Nov-20,Nov-20,11-2020,Spring,1.2,11,0,76,6.9,-58.5,-91.1,39.5,-29.7,-106.4,-21.2,-83.0,-137.6
