Month,Station,CDMM
Jan-04,Esperance Aero,0.8
Feb-04,Esperance Aero,12.5
Mar-04,Esperance Aero,15.8
Apr-04,Esperance Aero,1.7
May-04,Esperance Aero,3.7
Jun-04,Esperance Aero,13.8
Jul-04,Esperance Aero,-6.8
Aug-04,Esperance Aero,11.6
Sep-04,Esperance Aero,-6.4
Oct-04,Esperance Aero,-36.1
Nov-04,Esperance Aero,-45
Dec-04,Esperance Aero,-60.2
Jan-05,Esperance Aero,-68.6
Feb-05,Esperance Aero,-93.1
Mar-05,Esperance Aero,-112.8
Apr-05,Esperance Aero,-62.7
May-05,Esperance Aero,-109.9
Jun-05,Esperance Aero,-34.5
Jul-05,Esperance Aero,-74.3
Aug-05,Esperance Aero,-65.5
Sep-05,Esperance Aero,-40.5
Oct-05,Esperance Aero,-30.3
Nov-05,Esperance Aero,-32.9
Dec-05,Esperance Aero,-40.7
Jan-06,Esperance Aero,-27.5
Feb-06,Esperance Aero,-30.2
Mar-06,Esperance Aero,-33.7
Apr-06,Esperance Aero,23.8
May-06,Esperance Aero,2.6
Jun-06,Esperance Aero,-18.2
Jul-06,Esperance Aero,-38.4
Aug-06,Esperance Aero,-70.8
Sep-06,Esperance Aero,-87.8
Oct-06,Esperance Aero,-127.4
Nov-06,Esperance Aero,-149.4
Dec-06,Esperance Aero,-155.8
Jan-07,Esperance Aero,57.2
Feb-07,Esperance Aero,27.9
Mar-07,Esperance Aero,13.8
Apr-07,Esperance Aero,99.3
May-07,Esperance Aero,82.3
Jun-07,Esperance Aero,61.1
Jul-07,Esperance Aero,32.5
Aug-07,Esperance Aero,32.9
Sep-07,Esperance Aero,16.1
Oct-07,Esperance Aero,64.1
Nov-07,Esperance Aero,33.7
Dec-07,Esperance Aero,59.3
Jan-08,Esperance Aero,49.1
Feb-08,Esperance Aero,23.6
Mar-08,Esperance Aero,-6.9
Apr-08,Esperance Aero,-14.2
May-08,Esperance Aero,-27.2
Jun-08,Esperance Aero,-72.2
Jul-08,Esperance Aero,-21.6
Aug-08,Esperance Aero,-48
Sep-08,Esperance Aero,-7.8
Oct-08,Esperance Aero,11.6
Nov-08,Esperance Aero,11.6
Dec-08,Esperance Aero,33.4
Jan-09,Esperance Aero,178
Feb-09,Esperance Aero,163.5
Mar-09,Esperance Aero,159.4
Apr-09,Esperance Aero,155.3
May-09,Esperance Aero,122.9
Jun-09,Esperance Aero,147.1
Jul-09,Esperance Aero,129.5
Aug-09,Esperance Aero,98.9
Sep-09,Esperance Aero,115.9
Oct-09,Esperance Aero,77.3
Nov-09,Esperance Aero,65.7
Dec-09,Esperance Aero,49.7
Jan-10,Esperance Aero,37.5
Feb-10,Esperance Aero,46.2
Mar-10,Esperance Aero,49.9
Apr-10,Esperance Aero,38.6
May-10,Esperance Aero,88.6
Jun-10,Esperance Aero,76
Jul-10,Esperance Aero,65.8
Aug-10,Esperance Aero,57.4
Sep-10,Esperance Aero,39
Oct-10,Esperance Aero,29.2
Nov-10,Esperance Aero,17.8
Dec-10,Esperance Aero,9
Jan-11,Esperance Aero,17.2
Feb-11,Esperance Aero,22.5
Mar-11,Esperance Aero,22.4
Apr-11,Esperance Aero,16.9
May-11,Esperance Aero,14.3
Jun-11,Esperance Aero,-23.7
Jul-11,Esperance Aero,-31.5
Aug-11,Esperance Aero,-56.7
Sep-11,Esperance Aero,-64.9
Oct-11,Esperance Aero,-25.5
Nov-11,Esperance Aero,-6.5
Dec-11,Esperance Aero,37.7
Jan-12,Esperance Aero,59.3
Feb-12,Esperance Aero,45.2
Mar-12,Esperance Aero,59.5
Apr-12,Esperance Aero,38.8
May-12,Esperance Aero,11.6
Jun-12,Esperance Aero,38.6
Jul-12,Esperance Aero,27.4
Aug-12,Esperance Aero,22.4
Sep-12,Esperance Aero,11.8
Oct-12,Esperance Aero,-20.4
Nov-12,Esperance Aero,16.4
Dec-12,Esperance Aero,14.2
Jan-13,Esperance Aero,22.8
Feb-13,Esperance Aero,3.7
Mar-13,Esperance Aero,123.8
Apr-13,Esperance Aero,121.9
May-13,Esperance Aero,125.3
Jun-13,Esperance Aero,111.3
Jul-13,Esperance Aero,111.3
Aug-13,Esperance Aero,107.5
Sep-13,Esperance Aero,118.3
Oct-13,Esperance Aero,150.9
Nov-13,Esperance Aero,130.1
Dec-13,Esperance Aero,142.7
Jan-14,Esperance Aero,127.1
Feb-14,Esperance Aero,109.8
Mar-14,Esperance Aero,81.3
Apr-14,Esperance Aero,53.4
May-14,Esperance Aero,53.6
Jun-14,Esperance Aero,37.6
Jul-14,Esperance Aero,52.6
Aug-14,Esperance Aero,32.6
Sep-14,Esperance Aero,20.6
Oct-14,Esperance Aero,53.8
Nov-14,Esperance Aero,88.4
Dec-14,Esperance Aero,89.6
Jan-15,Esperance Aero,72.8
Feb-15,Esperance Aero,46.1
Mar-15,Esperance Aero,55
